"Date","Time","Open","High","Low","Close","Up","Down","ZeroLine","3/10Line_2","16Line_2","ParCl","ParCl","Vol","Avg","PLOT1","MornDoji","EveDoji"
09/28/2020,18:05,3348.50,3350.25,3346.75,3349.25,410,395,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09/28/2020,18:10,3349.25,3349.75,3348.75,3349.00,95,118,0.00,0.00,0.00,3348.75,3348.75,0.00,0.00,0.00,0.00,0.00
09/28/2020,18:15,3349.00,3349.75,3348.25,3349.00,134,159,0.00,0.00,0.00,3346.75,3346.75,0.00,0.00,0.00,0.00,0.00
09/28/2020,18:20,3349.25,3350.75,3348.50,3350.25,232,150,0.00,0.00,0.00,3346.77,3346.76,0.00,0.00,0.00,0.00,0.00
09/28/2020,18:25,3350.50,3351.50,3349.75,3351.00,289,321,0.00,0.00,0.00,3346.84,3346.78,0.00,0.00,0.00,0.00,0.00
09/28/2020,18:30,3350.75,3351.50,3350.50,3350.75,133,226,0.00,0.00,0.00,3346.95,3346.81,0.00,0.00,0.00,0.00,0.00
09/28/2020,18:35,3351.25,3351.75,3350.50,3351.00,161,159,0.00,0.00,0.00,3347.06,3346.85,0.00,0.00,0.00,0.00,0.00
09/28/2020,18:40,3350.75,3354.00,3350.50,3352.25,736,583,0.00,0.00,0.00,3347.21,3346.90,0.00,0.00,0.00,0.00,0.00
09/28/2020,18:45,3352.50,3353.25,3352.00,3352.25,140,179,0.00,0.00,0.00,3347.48,3346.99,0.00,0.00,0.00,0.00,0.00
09/28/2020,18:50,3352.00,3352.25,3350.50,3350.50,89,276,0.00,0.00,0.00,3347.74,3347.07,0.00,0.00,0.00,0.00,0.00
09/28/2020,18:55,3350.75,3350.75,3350.50,3350.50,62,33,0.00,0.00,0.00,3347.99,3347.16,95.00,427.50,0.00,0.00,0.00
09/28/2020,19:00,3350.50,3351.75,3350.50,3351.50,216,75,0.00,0.00,0.00,3348.23,3347.25,291.00,435.30,0.00,0.00,3349.50
09/28/2020,19:05,3351.50,3352.25,3351.25,3352.00,168,115,0.00,0.00,0.00,3348.46,3347.33,283.00,434.30,0.00,0.00,0.00
09/28/2020,19:10,3352.25,3352.25,3351.75,3351.75,54,92,0.00,0.00,0.00,3348.68,3347.41,146.00,410.70,0.00,0.00,0.00
09/28/2020,19:15,3351.75,3352.00,3351.00,3351.50,75,177,0.00,0.00,0.00,3348.90,3347.50,252.00,374.90,0.00,0.00,0.00
09/28/2020,19:20,3351.50,3352.75,3351.50,3352.75,190,13,0.00,0.00,0.00,3349.10,3347.58,203.00,359.30,0.00,0.00,0.00
09/28/2020,19:25,3352.75,3355.50,3352.50,3354.25,605,321,0.00,0.00,0.00,3349.30,3347.66,926.00,419.90,0.00,0.00,0.00
09/28/2020,19:30,3354.25,3354.25,3353.50,3353.75,196,229,0.00,0.00,0.00,3349.59,3347.77,425.00,330.50,0.00,0.00,0.00
09/28/2020,19:35,3353.75,3354.50,3353.00,3353.75,231,206,0.00,0.00,0.00,3349.88,3347.89,437.00,342.30,0.00,0.00,0.00
09/28/2020,19:40,3353.75,3354.25,3353.50,3353.50,69,77,0.00,0.00,0.00,3350.15,3348.00,146.00,320.40,0.00,0.00,0.00
09/28/2020,19:45,3353.50,3354.50,3353.50,3354.25,149,97,0.00,0.00,0.00,3350.40,3348.12,246.00,335.50,0.00,0.00,0.00
09/28/2020,19:50,3354.25,3355.00,3353.75,3354.75,174,128,0.00,0.00,0.00,3350.65,3348.23,302.00,336.60,0.00,0.00,0.00
09/28/2020,19:55,3354.75,3356.25,3354.25,3356.25,490,193,0.00,0.00,0.00,3350.88,3348.34,683.00,376.60,0.00,0.00,0.00
09/28/2020,20:00,3356.00,3356.00,3354.25,3355.25,249,290,0.00,0.00,0.00,3351.18,3348.48,539.00,415.90,0.00,0.00,0.00
09/28/2020,20:05,3355.50,3355.50,3352.75,3353.50,393,550,0.00,0.00,0.00,3351.47,3348.61,943.00,485.00,0.00,0.00,0.00
