"Date","Time","Open","High","Low","Close","Up","Down"
10/26/2017,19:00,2564.00,2565.00,2563.25,2564.00,2206,2292
10/26/2017,20:00,2564.00,2564.00,2563.25,2564.00,1133,1224
10/26/2017,21:00,2564.00,2564.00,2560.00,2562.00,4662,5901
10/26/2017,22:00,2561.75,2564.75,2561.75,2564.25,5383,3439
10/26/2017,23:00,2564.25,2567.25,2564.25,2566.50,6119,4373
10/27/2017,00:00,2566.50,2566.75,2565.25,2566.00,2855,2416
10/27/2017,01:00,2566.00,2566.50,2565.00,2565.50,1556,745
10/27/2017,02:00,2565.75,2566.25,2565.00,2565.25,1834,2141
10/27/2017,03:00,2565.25,2566.25,2564.50,2565.50,5722,4756
10/27/2017,04:00,2565.50,2571.00,2564.25,2570.50,28623,14389
10/27/2017,05:00,2570.25,2570.50,2567.00,2569.50,11135,14227
10/27/2017,06:00,2569.50,2571.75,2569.25,2571.25,15686,10158
10/27/2017,07:00,2571.25,2571.25,2569.50,2570.50,5848,8959
10/27/2017,08:00,2570.50,2571.00,2569.25,2570.00,10054,9792
10/27/2017,09:00,2569.75,2570.00,2567.75,2569.25,21726,19435
10/27/2017,10:00,2569.00,2570.75,2565.75,2569.25,101432,104719
10/27/2017,11:00,2569.00,2575.00,2569.00,2573.50,128636,118936
10/27/2017,12:00,2573.25,2579.25,2573.25,2578.75,102915,76811
10/27/2017,13:00,2578.75,2581.75,2578.50,2580.00,63456,62172
10/27/2017,14:00,2580.25,2581.25,2578.75,2580.75,44147,45161
10/27/2017,15:00,2581.00,2583.25,2579.75,2580.50,57237,46104
10/27/2017,16:00,2580.75,2581.75,2578.25,2581.00,118830,121206
10/27/2017,17:00,2581.25,2581.50,2579.25,2579.75,55708,61096
10/29/2017,19:00,2578.00,2580.75,2577.25,2578.25,4269,4431
10/29/2017,20:00,2578.25,2578.50,2576.75,2577.00,2239,2757
10/29/2017,21:00,2577.00,2579.00,2575.25,2578.50,7320,5819
10/29/2017,22:00,2578.50,2578.75,2575.75,2576.25,4797,3752
10/29/2017,23:00,2576.00,2577.00,2574.75,2576.25,5388,4469
10/30/2017,00:00,2576.25,2576.50,2574.75,2575.50,2148,2345
10/30/2017,01:00,2575.50,2576.25,2575.00,2575.50,998,964
10/30/2017,02:00,2575.50,2576.00,2574.75,2575.25,3103,2646
10/30/2017,03:00,2575.50,2576.50,2575.00,2576.00,2005,1307
10/30/2017,04:00,2576.50,2577.50,2575.25,2577.00,4378,4382
10/30/2017,05:00,2577.00,2577.50,2575.75,2576.25,8283,9891
10/30/2017,06:00,2576.50,2577.50,2575.75,2576.00,7303,5511
10/30/2017,07:00,2576.00,2576.50,2574.25,2574.50,6830,5990
10/30/2017,08:00,2574.50,2576.25,2574.25,2576.25,7730,5270
10/30/2017,09:00,2576.25,2576.50,2574.50,2575.25,8813,8301
10/30/2017,10:00,2575.00,2577.75,2573.75,2576.75,77842,69988
10/30/2017,11:00,2576.50,2580.00,2575.75,2578.50,68881,55978
10/30/2017,12:00,2578.25,2579.00,2570.00,2572.75,88215,104971
10/30/2017,13:00,2572.75,2573.00,2568.00,2571.75,61208,59519
10/30/2017,14:00,2571.75,2574.00,2570.25,2571.00,52105,39471
10/30/2017,15:00,2571.00,2573.50,2570.25,2572.25,41902,30434
10/30/2017,16:00,2572.25,2574.25,2569.25,2571.50,93559,95272
10/30/2017,17:00,2571.75,2572.75,2569.75,2571.00,49222,49662
10/30/2017,19:00,2570.50,2571.25,2569.50,2570.00,1813,2316
10/30/2017,20:00,2570.00,2571.00,2569.50,2569.75,1421,1629
10/30/2017,21:00,2569.75,2571.50,2569.25,2571.00,3130,3429
10/30/2017,22:00,2571.25,2572.00,2570.50,2571.75,2396,2353
10/30/2017,23:00,2571.75,2572.25,2571.50,2572.00,1792,1483
10/31/2017,00:00,2572.00,2572.50,2571.75,2572.25,1060,878
10/31/2017,01:00,2572.25,2572.75,2572.00,2572.75,1125,1918
10/31/2017,02:00,2572.50,2572.50,2571.25,2572.00,1443,2305
10/31/2017,03:00,2572.00,2572.75,2571.00,2572.00,1386,1297
10/31/2017,04:00,2571.75,2572.75,2571.75,2572.25,1023,1431
